candidate,state,district,office,year,party,website_url,has_url,captured
Al Franken,MN,00,senate,2012,D,http://www.alfranken.com,True,True
Al Franken,MN,00,senate,2014,D,http://www.alfranken.com,True,True
Al Franken,MN,00,senate,2016,D,http://www.alfranken.com,True,True
Al Franken,MN,00,senate,2018,D,http://www.alfranken.com,True,True
Al Franken,MN,00,senate,2020,D,http://www.alfranken.com,True,False
Al Franken,MN,00,senate,2022,D,http://www.alfranken.com,True,True
Al Franken,MN,00,senate,2024,D,http://www.alfranken.com,True,True
Al Mr. Krulick,FL,07,house,2022,D,https://krulickforcongress.com,True,True
Al Mr. Krulick,FL,07,house,2024,D,https://krulickforcongress.com,True,False
Al Olszewski,MT,01,house,2022,R,https://alformontana.com,True,True
Al Olszewski,MT,01,house,2024,R,https://alformontana.com,True,False
Al Ramirez,CA,00,senate,2010,R,https://www.ramirez2010.com,True,True
Al Ramirez,CA,00,senate,2012,R,https://www.alramirez.com,True,True
Al Ramirez,CA,00,senate,2014,R,https://www.alramirez.com,True,True
Al Ramirez,CA,00,senate,2016,R,https://www. ramirez2016.com,False,False
Al Santos,FL,07,house,2022,R,https://www.alsantos.org,True,True
Al Santos,FL,07,house,2024,R,https://www.alsantos.org,True,True
Alaina Shearer,OH,12,house,2020,D,https://www.alaina2020.com,True,True
Alaina Shearer,OH,12,house,2022,D,https://www.alaina2020.com,True,True
Alaina Shearer,OH,12,house,2024,D,https://www.alaina2020.com,True,True
Alan Bohms,TN,00,house,2018,D,https://www.bohms4congress.com,True,False
Alan Cohn,FL,15,house,2020,D,https://www.cohnforflorida.com,True,False
Alan Cohn,FL,15,house,2022,D,https://www.cohnforflorida.com,True,True
Alan Cohn,FL,15,house,2024,D,https://www.cohnforflorida.com,True,True
Alan D Swain,NC,02,house,2020,R,https://www.swainforcongress.com,True,True
Alan D Swain,NC,04,house,2022,R,https://www.swainforcongress.com,True,False
Alan D Swain,NC,02,house,2024,R,https://www.swainforcongress.com,True,True
Alan Darnowsky,OH,02,house,2022,D,http://alan4congress.com/,True,True
Alan Earl Cobb,KS,04,house,2018,R,https://cobbforcongress.com,True,False
Alan Khazei,MA,04,house,2020,D,https://www.alankhazei.com,True,True
Alan Khazei,MA,04,house,2022,D,https://www.alankhazei.com,True,True
Alan Khazei,MA,04,house,2024,D,https://www.alankhazei.com,True,False
Alan Khazei,MA,00,senate,2012,D,https://www.alankhazel.com,True,False
Alan Khazei,MA,00,senate,2014,D,https://www.alankhazel.com,True,False
Alan L Keyes,IL,00,senate,2004,R,https://www.keyes2004.com,True,True
Alan L Keyes,IL,00,senate,2006,R,https://www.keyes2004.com,True,True
Alan L Keyes,IL,00,senate,2008,R,https://www.keyes2004.com,True,True
Alan L Keyes,IL,00,senate,2010,R,https://www.keyes2004.com,True,False
Alan L Keyes,IL,00,senate,2012,R,https://www.keyes2004.com,True,False
Alan L Keyes,IL,00,senate,2014,R,https://www.keyes2004.com,True,True
Alan L Keyes,IL,00,senate,2016,R,https://www.keyes2004.com,True,True
Alan L Keyes,IL,00,senate,2018,R,https://www.keyes2004.com,True,False
Alan Lapolice,KS,01,house,2018,D,https://alanlapolice.com,True,True
Alan Lapolice,KS,01,house,2020,D,https://alanlapolice.com,True,True
Alan Lowenthal,CA,47,house,2018,D,http://lowenthal.house.gov/,True,True
Alan Lowenthal,CA,47,house,2020,D,http://lowenthal.house.gov/,True,True
Alan Lowenthal,CA,47,house,2022,D,http://lowenthal.house.gov/,True,True
Alan Lowenthal,CA,47,house,2024,D,http://lowenthal.house.gov/,True,False
Alan M Sandals,PA,00,senate,2006,D,https://www.forourfuture.us,True,True
Alan M Sandals,PA,00,senate,2008,D,https://www.forourfuture.us,True,True
Alan Mark Grayson,FL,09,house,2018,D,https://www.graysonforcongress.com,True,True
Alan Mark Grayson,FL,06,house,2020,D,https://www.graysonforcongress.com,True,True
Alan Mark Grayson,FL,10,house,2022,D,https://www.graysonforcongress.com,True,True
Alan Mark Grayson,FL,10,house,2024,D,https://www.graysonforcongress.com,True,True
Alan Mark Grayson,FL,00,senate,2016,D,https://www.graysonforcongress.com,True,False
Alan Mark Grayson,FL,00,senate,2018,D,https://www.graysonforcongress.com,True,True
Alan Mark Grayson,FL,00,senate,2020,D,https://www.graysonforcongress.com,True,True
Alan Mark Grayson,FL,00,senate,2022,D,https://www.graysonforcongress.com,True,False
Alan Mark Grayson,FL,00,senate,2024,D,https://www.graysonforcongress.com,True,True
Alan Michael Cohn,FL,15,house,2018,D,https://cohnforcongress.com,True,False
Alan Michael Davis,FL,04,house,2022,R,https://votealandavis.com,True,True
Alan Michael Davis,FL,04,house,2024,R,https://votealandavis.com,True,False
Alan Michael Shank,PA,00,senate,2022,D,https://www.alshankforpa.com,True,False
Alan Michael Shank,PA,00,senate,2024,D,https://www.alshankforpa.com,True,False
Alan Rapoport,OH,11,house,2024,R,https://rapoport4congress.com,True,True
Alan Schlesinger,CT,00,senate,2006,R,https://www.schlesinger.com,True,False
Alan Schlesinger,CT,00,senate,2008,R,https://www.schlesinger.com,True,True
Alan Sims,GA,10,house,2022,R,https://alansimsforcongress.com,True,True
Alan Steinberg,TX,22,house,2018,R,https://www.steinbergforcongress.com,True,False
Alan Thomas Hoover,MI,08,house,2020,R,https://www.alanhoover2020.com,True,False
Alberder Gillespie,MN,04,house,2020,D,https://www.gillespieforcongress,True,False
Alberder Gillespie,MN,04,house,2022,D,https://www.gillespieforcongress,True,False
Alberder Gillespie,MN,04,house,2024,D,https://www.gillespieforcongress,True,False
Albert Burt Thakur,TX,26,house,2024,R,https://www.burtthakur.com,True,False
Albert E Woolum,TX,12,house,2018,D,https://www.alwoolum4congress.com,True,False
Albert E Woolum,TX,12,house,2020,D,https://www.alwoolum4congresstx12.com,True,False
Albert E Woolum,TX,12,house,2022,D,https://www.alwoolum4congresstx12.com,True,False
Albert E Woolum,TX,12,house,2024,D,https://www.alwoolum4congresstx12.com,True,False
Albert Goldberg,NV,03,house,2022,R,https://www.albertgoldbergforcongress.com,True,True
Albert Harshaw,NJ,00,senate,2024,R,https://albert4senate.com,True,True
Albert Howard,CA,00,senate,2016,R,https://alberthoward.org,True,True
Albert Howard,CA,00,senate,2018,R,https://alberthoward.org,True,False
Albert Mr. Lee,OR,03,house,2020,D,https://albertlee2020.com,True,True
Albert Mr. Lee,OR,03,house,2022,D,https://albertlee2020.com,True,False
Albert Mr. Lee,OR,03,house,2024,D,https://albertlee2020.com,True,False
Albert Thakur,CA,25,house,2022,R,https://www.burtthakur.com,True,False
Albert Thakur,CA,25,house,2024,R,https://www.burtthakur.com,True,False
Albio Sires,NJ,08,house,2018,D,https://sires.house.gov,True,True
Albio Sires,NJ,08,house,2020,D,https://sires.house.gov,True,True
Albio Sires,NJ,08,house,2022,D,https://sires.house.gov,True,True
Albio Sires,NJ,08,house,2024,D,https://sires.house.gov,True,False
Alcee L Hastings,FL,20,house,2018,D,http://alceehastings.house.gov,True,True
Alcee L Hastings,FL,20,house,2020,D,http://alceehastings.house.gov,True,True
Alcee L Hastings,FL,20,house,2022,D,http://alceehastings.house.gov,True,False
Alcee L Hastings,FL,20,house,2024,D,http://alceehastings.house.gov,True,False
Alec E Pueschel,FL,06,house,2020,R,https://alecforcongress.us,True,False
Alec E Pueschel,FL,06,house,2022,R,https://alecforcongress.us,True,False
Alec Stevens,FL,03,house,2024,R,https://haleystevensforcongress.com/,True,False
Alejandro Ledezma,TX,35,house,2022,R,https://alejandrotx.com,True,True
Alejandro Ledezma,TX,35,house,2024,R,https://alejandrotx.com,True,False
Alek Skarlatos,OR,04,house,2020,R,https://www.alekfororegon.com,True,True
Alek Skarlatos,OR,04,house,2022,R,https://www.alekfororegon.com,True,True
Alek Skarlatos,OR,04,house,2024,R,https://www.alekfororegon.com,True,True
Aleksander Mici,NY,00,senate,2022,R,https://miciforsenate.com,True,True
Alessandra Biaggi,NY,17,house,2022,D,https://www.alessandrabiaggi.com,True,True
Alessandra Biaggi,NY,17,house,2024,D,https://www.alessandrabiaggi.com,True,True
Alex Arto Balekian,CA,30,house,2024,R,https://alexforca30.com,True,True
Alex Channing Singer,NV,03,house,2018,D,https://www.singerforcongress.com,True,False
Alex Channing Singer,NV,03,house,2020,D,https://www.singerforcongress.com,True,False
Alex Channing Singer,NV,03,house,2022,D,https://www.singerforcongress.com,True,True
Alex Channing Singer,NV,03,house,2024,D,https://www.singerforcongress.com,True,False
Alex Cornwallis,TX,32,house,2024,D,https://www.alexforuscongress.com/,True,True
Alex Cross,TX,38,house,2022,R,https://alexcross.com,True,False
Alex Cross,TX,38,house,2024,R,https://alexcross.com,True,False
Alex Gray,OK,00,senate,2022,R,https://alexgrayforsenate.com,True,True
Alex L Bryant,MO,07,house,2022,R,https://alexbryantforcongress.com,True,False
Alex L Bryant,MO,07,house,2024,R,https://alexbryantforcongress.com,True,False
Alex Lasry,WI,00,senate,2022,D,https://www.alexlasry.com,True,True
Alex Lasry,WI,00,senate,2024,D,https://www.alexlasry.com,True,False
Alex Morse,MA,01,house,2020,D,https://alexmorseforcongress.com/,True,True
Alex Morse,MA,01,house,2022,D,https://alexmorseforcongress.com/,True,True
Alex Padilla,CA,00,senate,2020,D,https://www.alex-padilla.com/,True,False
Alex Padilla,CA,00,senate,2022,D,https://www.alex-padilla.com/,True,True
Alex Padilla,CA,00,senate,2024,D,https://www.alex-padilla.com/,True,False
Alex Sink,FL,13,house,2018,D,http://www.alexforcongress.com,True,True
Alex Spenser,OR,02,house,2020,D,https://www.spenser2020.com,True,True
Alex Spenser,OR,02,house,2022,D,https://www.spenser2020.com,True,True
Alex Stovall,AZ,09,house,2022,R,https://alex4arizona.com,True,True
Alex Stovall,AZ,05,house,2024,R,https://alex4arizona.com,True,True
Alexander Dodenhoff,NY,10,house,2024,R,https://alex dodenhoff.com,False,False
